Technique,TN,FP,FN,TP
RF,78,10,6,85
RF,59,8,10,102
RF,79,7,13,80
RF,68,6,7,98
RF,77,5,9,88
RF,75,5,13,86
RF,70,10,5,94
RF,72,4,6,97
RF,77,9,9,84
RF,66,12,5,96
RF,79,4,8,88
RF,74,7,6,92
RF,72,6,10,91
RF,72,9,9,89
RF,67,11,2,99
RF,79,5,6,89
RF,80,13,8,78
RF,80,4,8,87
RF,69,6,7,97
RF,71,3,3,102
RF,68,15,9,87
RF,77,7,7,88
RF,77,5,6,91
RF,67,7,9,96
RF,55,13,9,102
RF,77,7,12,83
RF,68,7,8,96
RF,68,10,4,97
RF,67,8,12,92
RF,71,5,11,92
RF,68,9,10,92
RF,69,6,8,96
RF,70,9,6,94
RF,77,4,12,86
RF,65,6,11,97
RF,68,5,7,99
RF,66,13,8,92
RF,76,2,9,92
RF,72,9,10,88
RF,64,7,11,97
RF,72,6,8,93
RF,73,12,8,86
RF,61,8,9,101
RF,65,5,11,98
RF,67,6,12,94
RF,69,7,5,98
RF,66,8,10,95
RF,67,1,14,97
RF,76,10,15,78
RF,68,6,4,101
RF,79,10,9,81
RF,66,5,5,103
RF,68,6,10,95
RF,62,7,3,107
RF,67,8,12,92
RF,84,5,11,79
RF,71,9,10,89
RF,64,10,11,94
RF,71,2,7,99
RF,66,7,13,93
RF,70,8,7,94
RF,82,4,10,83
RF,77,8,5,89
RF,69,6,11,93
RF,70,4,8,97
RF,82,8,8,81
RF,71,5,12,91
RF,70,7,8,94
RF,59,6,12,102
RF,89,6,8,76
RF,72,7,9,91
RF,83,9,9,78
RF,59,7,13,100
RF,62,9,12,96
RF,67,5,3,104
RF,81,5,11,82
RF,56,6,11,106
RF,76,4,10,89
RF,72,7,10,90
RF,75,5,9,90
RF,64,3,11,101
RF,68,9,10,92
RF,65,8,13,93
RF,92,7,5,75
RF,80,7,6,86
RF,73,3,10,93
RF,78,7,9,85
RF,68,8,10,93
RF,68,8,11,92
RF,71,4,9,95
RF,70,6,10,93
RF,73,7,12,87
RF,67,8,14,90
RF,76,10,6,87
RF,58,7,19,95
RF,69,8,7,95
RF,68,12,9,90
RF,81,5,7,86
RF,67,4,4,104
RF,70,8,7,94
SVM,67,8,9,95
SVM,69,4,11,95
SVM,69,5,12,93
SVM,66,9,5,99
SVM,72,8,9,90
SVM,70,8,4,97
SVM,73,8,13,85
SVM,66,4,6,103
SVM,68,4,8,99
SVM,74,10,4,91
SVM,75,6,4,94
SVM,66,4,10,99
SVM,68,11,7,93
SVM,72,5,12,90
SVM,72,4,10,93
SVM,70,10,7,92
SVM,84,4,9,82
SVM,65,7,7,100
SVM,68,8,5,98
SVM,71,15,4,89
SVM,72,10,7,90
SVM,63,6,6,104
SVM,71,2,6,100
SVM,66,7,8,98
SVM,79,3,11,86
SVM,67,11,5,96
SVM,73,7,9,90
SVM,68,9,4,98
SVM,77,7,9,86
SVM,66,6,8,99
SVM,74,8,8,89
SVM,72,7,10,90
SVM,71,6,5,97
SVM,70,10,9,90
SVM,74,6,5,94
SVM,67,10,7,95
SVM,76,7,10,86
SVM,57,3,8,111
SVM,71,6,4,98
SVM,67,10,4,98
SVM,63,9,10,97
SVM,73,6,5,95
SVM,65,5,6,103
SVM,75,4,4,96
SVM,75,4,6,94
SVM,67,6,12,94
SVM,68,10,8,93
SVM,72,6,9,92
SVM,74,6,12,87
SVM,70,6,6,97
SVM,71,6,7,95
SVM,73,3,4,99
SVM,80,7,10,82
SVM,62,8,4,105
SVM,63,7,3,106
SVM,74,4,5,96
SVM,81,4,4,90
SVM,72,4,9,94
SVM,82,3,8,86
SVM,75,10,9,85
SVM,79,8,8,84
SVM,70,4,10,95
SVM,75,4,6,94
SVM,85,8,6,80
SVM,77,7,1,94
SVM,67,8,8,96
SVM,78,4,6,91
SVM,56,7,8,108
SVM,71,7,7,94
SVM,67,3,9,100
SVM,76,8,7,88
SVM,64,5,9,101
SVM,71,9,6,93
SVM,67,6,6,100
SVM,74,4,9,92
SVM,76,8,5,90
SVM,81,5,7,86
SVM,77,4,7,91
SVM,53,14,7,105
SVM,91,2,2,84
SVM,75,7,5,92
SVM,71,6,7,95
SVM,74,6,3,96
SVM,73,4,9,93
SVM,80,7,7,85
SVM,64,4,6,105
SVM,85,7,3,84
SVM,78,9,4,88
SVM,77,5,8,89
SVM,71,4,8,96
SVM,64,7,5,103
SVM,75,4,6,94
SVM,68,7,5,99
SVM,71,6,9,93
SVM,77,6,7,89
SVM,71,7,4,97
SVM,76,10,8,85
SVM,77,3,7,92
SVM,83,6,4,86
SVM,71,9,8,91
NN,81,4,13,81
NN,79,10,5,85
NN,65,8,5,101
NN,80,5,6,88
NN,72,6,5,96
NN,72,8,4,95
NN,73,5,12,89
NN,72,6,9,92
NN,71,3,12,93
NN,75,10,8,86
NN,74,12,5,88
NN,68,10,7,94
NN,70,7,12,90
NN,78,5,6,90
NN,77,6,7,89
NN,70,6,8,95
NN,68,5,7,99
NN,71,9,7,92
NN,76,8,7,88
NN,69,5,15,90
NN,72,7,12,88
NN,75,8,8,88
NN,67,11,7,94
NN,67,14,9,89
NN,70,9,8,92
NN,64,5,12,98
NN,76,4,8,91
NN,70,10,7,92
NN,81,5,8,85
NN,62,6,6,105
NN,75,7,7,90
NN,81,2,11,85
NN,74,10,5,90
NN,69,5,12,93
NN,76,5,9,89
NN,61,7,7,104
NN,65,9,7,98
NN,67,5,12,95
NN,68,3,8,100
NN,70,6,10,93
NN,82,9,6,82
NN,63,13,9,94
NN,63,14,8,94
NN,71,9,4,95
NN,80,7,5,87
NN,74,2,9,94
NN,61,7,9,102
NN,70,10,10,89
NN,65,6,6,102
NN,68,9,3,99
NN,67,9,7,96
NN,71,7,8,93
NN,77,3,6,93
NN,72,7,8,92
NN,60,8,12,99
NN,71,7,12,89
NN,82,6,7,84
NN,74,9,3,93
NN,67,11,5,96
NN,67,8,7,97
NN,67,6,15,91
NN,64,11,8,96
NN,65,8,11,95
NN,69,10,8,92
NN,68,7,17,87
NN,80,4,9,86
NN,72,5,12,90
NN,75,9,7,88
NN,74,7,11,87
NN,71,7,7,94
NN,66,8,4,101
NN,70,5,5,99
NN,73,10,6,90
NN,68,18,12,81
NN,69,6,9,95
NN,79,7,8,85
NN,81,8,10,80
NN,71,9,12,87
NN,76,7,10,86
NN,59,12,6,102
NN,71,3,13,92
NN,70,12,9,88
NN,67,6,11,95
NN,75,12,7,85
NN,73,7,11,88
NN,58,6,9,106
NN,76,9,4,90
NN,69,7,13,90
NN,74,5,8,92
NN,63,8,8,100
NN,65,15,4,95
NN,58,7,6,108
NN,69,10,7,93
NN,64,2,10,103
NN,72,7,7,93
NN,78,11,8,82
NN,63,9,11,96
NN,72,7,6,94
NN,63,9,11,96
NN,71,6,9,93
