"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";3313;2;75.81;139.74;84;0;9.04;10.17;1553;1;158.8;254.72;0.15
"vsrv11";"Todos";672;2;76.69;108.15;26;0;2.05;2.83;9889;2;1073.46;1798.94;0.09
"vsrv16";"Todos";1123;2;74.52;111.72;17;0;2.78;3.09;4363;1;504.01;702.91;0.17
"vsrv17";"Todos";3313;2;87.07;206.3;20;0;2.45;3.17;2776;1;474.17;543.6;0.18
"vsrv8";"Todos";861;2;64.6;103.59;18;0;1.89;2.37;5640;1;605.71;899.76;0.16
"Todos";"OPENVPN_L2";223;2;32.87;40.4;1;0;0.22;0.41;11695;1;2631.36;3303.63;0.18
"Todos";"PPTP";3313;2;76.57;156.46;47;0;4.82;5.8;2537;1;322.39;444.3;0.14
"Todos";"SOFTETHER";255;2;57.96;68.09;3;0;0.55;0.84;12027;186;2139.45;3377.16;0.18
"Todos";"SSTP";1123;2;80.97;126.89;29;0;4.12;4.97;2592;1;370.43;611.35;0.16
"vsrv11";"OPENVPN_L2";223;2;36.52;45.94;1;0;0.2;0.4;17401;15;5079.83;6616.14;0.14
"vsrv11";"PPTP";672;2;94.12;123.69;15;0;1.49;1.97;22702;113;4107.62;7643.55;0.04
"vsrv11";"SOFTETHER";255;2;60.17;69.73;3;0;0.52;0.88;3329;186;1278.56;1150.1;0.17
"vsrv11";"SSTP";178;2;28.66;43.5;1;0;0.1;0.3;50315;2;8912.78;16577.05;0.24
"vsrv16";"OPENVPN_L2";100;2;30.14;32.8;1;0;0.2;0.42;29946;6893;18419.5;16300.93;0.3
"vsrv16";"PPTP";566;2;69.2;103.04;7;0;1.09;1.53;4823;2;1018.67;1111.8;0.18
"vsrv16";"SOFTETHER";3;3;3;NA;0;0;0;0;-Inf;Inf;NA;NA;0.5
"vsrv16";"SSTP";1123;2;80.91;120.21;11;0;1.81;2.26;6435;1;1169.26;1613.05;0.15
"vsrv17";"OPENVPN_L2";98;2;25.1;30.91;1;0;0.13;0.35;11696;78;3622;5486.47;0.33
"vsrv17";"PPTP";3313;2;87.52;257.47;8;0;1.3;1.77;3937;1;956.26;1026.87;0.18
"vsrv17";"SOFTETHER";24;2;13;15.56;0;0;0;0;-Inf;Inf;NA;NA;0.33
"vsrv17";"SSTP";968;2;90.58;147.06;8;0;1.2;1.86;6741;2;1011.83;1314.47;0.17
"vsrv8";"OPENVPN_L2";51;3;23.71;16.87;0;0;0;0;-Inf;Inf;NA;NA;0
"vsrv8";"PPTP";493;2;51.59;86.35;10;0;0.97;1.44;8584;1;1098;1521.19;0.18
"vsrv8";"SOFTETHER";147;17;71;67.73;0;0;0;0;-Inf;Inf;NA;NA;0
"vsrv8";"SSTP";861;2;79.99;119.77;6;0;0.88;1.29;5970;3;1726.61;1746.25;0.14
