"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";1388;2;97.58;160.28;25;0;2.81;3.87;3987;1;175.13;386.74;0.29
"vsrv11";"Todos";1086;2;70.7;124.28;6;0;0.33;0.72;7864;1;285.49;1076.92;0.44
"vsrv16";"Todos";1113;2;103.62;167.69;8;0;0.81;1.19;5722;1;1035.2;1327.41;0.2
"vsrv17";"Todos";1388;2;133.66;210.71;7;0;0.84;1.37;6228;1;870.86;1218.39;0.25
"vsrv8";"Todos";657;2;87.29;122.21;6;0;0.74;1.08;5897;1;1696.32;1738.17;0.14
"Todos";"OPENVPN_L2";268;9;122;132.62;0;0;0;0;12419;4997;8755;3045.53;0.62
"Todos";"OPENVPN_L3";25;2;7.25;6.3;1;0;0.03;0.16;8426;1;80.78;743.28;0.89
"Todos";"PPTP";1388;2;108.98;168.22;18;0;2.45;3.08;3987;1;536.93;697.84;0.15
"Todos";"SOFTETHER";384;2;66.37;83.17;2;0;0.27;0.52;-Inf;Inf;NA;NA;0
"Todos";"SSTP";733;2;76.6;150;12;0;0.7;1.42;7688;1;1000.91;1564.98;0.24
"vsrv11";"OPENVPN_L2";268;9;122;132.62;0;0;0;0;12419;4997;8708;5248.15;0.5
"vsrv11";"OPENVPN_L3";25;2;7.25;6.3;1;0;0.03;0.16;8426;1;80.78;743.28;0.89
"vsrv11";"PPTP";1086;2;93.15;147.49;2;0;0.17;0.39;11471;25;3956.4;4047.56;0.09
"vsrv11";"SOFTETHER";384;2;68.59;83.73;1;0;0.14;0.35;-Inf;Inf;NA;NA;0
"vsrv11";"SSTP";54;2;11.23;11.94;2;0;0.64;0.78;2779;2779;2779;NA;0.07
"vsrv16";"OPENVPN_L2";-Inf;Inf;NA;NA;0;0;0;NA;-Inf;Inf;NA;NA;1
"vsrv16";"OPENVPN_L3";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv16";"PPTP";1113;2;108.83;167.7;4;0;0.56;0.77;5722;1;2021.1;1978.36;0.14
"vsrv16";"SOFTETHER";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv16";"SSTP";652;2;86.83;168.61;6;0;0.33;0.97;13428;3;2348.94;4040.94;0.32
"vsrv17";"OPENVPN_L2";-Inf;Inf;NA;NA;0;0;0;NA;-Inf;Inf;NA;NA;1
"vsrv17";"OPENVPN_L3";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv17";"PPTP";1388;2;142.32;216.07;4;0;0.54;0.89;8895;1;1614.14;2273.11;0.21
"vsrv17";"SOFTETHER";2;2;2;NA;0;0;0;NA;-Inf;Inf;NA;NA;0
"vsrv17";"SSTP";733;2;113.63;198.34;4;0;0.23;0.61;11722;1;2160.25;2956.83;0.34
"vsrv8";"OPENVPN_L2";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv8";"OPENVPN_L3";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv8";"PPTP";657;2;92.7;128.59;5;0;0.55;0.93;8942;1;2019.43;2472.68;0.16
"vsrv8";"SOFTETHER";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv8";"SSTP";489;2;70.16;98.98;1;0;0.2;0.4;19022;2829;10171.67;8201.1;0.1
