"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";8447;2;86.91;163.34;869;0;52.11;63.57;805;1;55.78;108.32;0.11
"vsrv10";"Todos";1375;2;77.93;113.04;53;0;4.87;5.48;3535;1;332.8;518.19;0.13
"vsrv11";"Todos";739;2;76.03;98.4;24;0;2.48;2.87;4104;2;879.22;890.56;0.1
"vsrv16";"Todos";1135;2;84.22;119.19;230;0;18.09;22.49;2862;1;198.76;345.06;0.12
"vsrv17";"Todos";2845;2;92.52;150.86;277;0;17.35;23.38;2463;1;203.25;367.36;0.11
"vsrv8";"Todos";8447;2;90.2;228.97;201;0;18.14;20.98;3308;1;210.24;364.62;0.1
"Todos";"OPENVPN_L2";333;2;40.69;52.05;22;0;1.35;2.61;7479;1;423.61;880.05;0.23
"Todos";"OPENVPN_L3";2;2;2;NA;0;0;0;0;2152;1;270.5;760.24;0.9
"Todos";"PPTP";8447;2;95.71;212.63;338;0;22.66;25.81;2336;1;172.78;289.44;0.09
"Todos";"SOFTETHER";718;2;103.32;110.75;6;0;1.11;1.42;3996;1;942.45;1083.39;0.17
"Todos";"SSTP";1491;2;83.13;116.22;404;0;27.79;35.65;3257;1;118.91;244.75;0.11
"vsrv10";"OPENVPN_L2";150;2;35.73;39.45;3;0;0.26;0.69;13104;2;2659.73;3743.96;0.32
"vsrv10";"OPENVPN_L3";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv10";"PPTP";671;2;88.23;118.68;19;0;2.33;2.63;3850;1;730.65;882.02;0.11
"vsrv10";"SOFTETHER";252;2;87.88;87.59;0;0;0;0;6660;6;2787.83;3089.36;0.47
"vsrv10";"SSTP";1375;2;71.53;111.38;26;0;2.21;2.93;6344;1;734.22;1066.57;0.12
"vsrv11";"OPENVPN_L2";182;2;26.89;32.22;3;0;0.22;0.54;11559;2;3214.22;3984.96;0.15
"vsrv11";"OPENVPN_L3";-Inf;Inf;NA;NA;0;0;0;NA;-Inf;Inf;NA;NA;1
"vsrv11";"PPTP";389;2;59.85;67.1;5;0;0.71;1.03;27085;425;6278;10285.46;0.05
"vsrv11";"SOFTETHER";718;2;109.06;120.14;6;0;0.66;0.95;5329;50;1979.15;1516.21;0.12
"vsrv11";"SSTP";739;2;71.58;100.22;4;0;0.54;0.84;10254;503;3402.6;3231.3;0.09
"vsrv16";"OPENVPN_L2";295;2;39.13;48.39;6;0;0.54;1.11;11310;2;1136.06;2319.34;0.24
"vsrv16";"OPENVPN_L3";-Inf;Inf;NA;NA;0;0;0;0;2154;2;1078;1521.69;1
"vsrv16";"PPTP";948;2;94.98;131.85;82;0;7.66;8.69;3163;1;553.9;785.02;0.09
"vsrv16";"SOFTETHER";261;4;95.8;76.94;0;0;0;0;16229;29;6763.67;8438.15;0.21
"vsrv16";"SSTP";1135;2;80.09;112.48;121;0;9.87;13.08;4197;1;389.61;589.78;0.12
"vsrv17";"OPENVPN_L2";333;2;50.79;62.14;4;0;0.47;0.92;11066;6;1456.29;2484.13;0.24
"vsrv17";"OPENVPN_L3";-Inf;Inf;NA;NA;0;0;0;0;4;2;3;1.41;1
"vsrv17";"PPTP";2845;2;101.56;177.12;110;0;7.2;9.44;3389;1;529.62;776.06;0.09
"vsrv17";"SOFTETHER";151;11;65.12;56.15;1;0;0.17;0.39;21310;1;7104;12302.76;0.33
"vsrv17";"SSTP";1491;2;88.66;129.88;128;0;9.61;13.42;6124;1;403.81;780.28;0.11
"vsrv8";"OPENVPN_L2";292;2;44.37;59.96;6;0;0.36;1.04;14375;1;2015.5;3654.01;0.24
"vsrv8";"OPENVPN_L3";2;2;2;NA;0;0;0;0;3;3;3;NA;0.67
"vsrv8";"PPTP";8447;2;99.13;324.37;64;0;8.24;8.93;4496;1;528.54;797.62;0.09
"vsrv8";"SOFTETHER";161;4;79;51.06;0;0;0;0;10095;1311;4090.83;3308.92;0.32
"vsrv8";"SSTP";864;2;86.24;109.22;107;0;9.8;11.63;3308;1;442.93;596.5;0.1
