"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";1952;2;74.42;129.38;48;0;3.29;4.54;3671;1;140.31;324.16;0.26
"vsrv11";"Todos";596;2;68.43;94.25;12;0;1.08;1.42;4478;1;542.85;810.69;0.21
"vsrv16";"Todos";1952;2;73.33;169.12;8;0;0.65;1.18;4189;1;422.89;705.8;0.29
"vsrv17";"Todos";565;2;81.48;122.33;6;0;0.49;0.88;4220;1;556.39;951.86;0.27
"vsrv8";"Todos";608;2;77.27;118.03;6;0;0.59;1.06;5008;1;540.22;863.1;0.28
"Todos";"OPENVPN_L2";469;2;52.45;77.56;4;0;0.27;0.71;5871;4;2081.71;2155.13;0.17
"Todos";"OPENVPN_L3";72;3;13.12;19.83;1;0;0.02;0.15;14257;1;647.68;2442.11;0.82
"Todos";"PPTP";608;2;69.06;107.66;23;0;1.95;2.69;3680;1;362.05;540.23;0.18
"Todos";"SOFTETHER";576;2;90.46;116.9;2;0;0.22;0.52;10181;1;1070.35;2208.91;0.32
"Todos";"SSTP";1952;2;94.35;185.51;9;0;0.86;1.28;4025;1;486.57;828.41;0.28
"vsrv11";"OPENVPN_L2";469;2;60.2;84.81;2;0;0.07;0.32;7591;4;3086.4;3179.86;0.19
"vsrv11";"OPENVPN_L3";13;3;6.09;3.3;1;0;0.05;0.22;14257;2;1300;3755.91;0.72
"vsrv11";"PPTP";596;2;71.43;89.62;8;0;0.58;0.98;5716;2;1978.12;1817.74;0.11
"vsrv11";"SOFTETHER";576;2;91.95;117.35;2;0;0.26;0.57;10181;199;2727.08;2909.26;0.17
"vsrv11";"SSTP";78;2;14;19.21;2;0;0.33;0.59;2862;2862;2862;NA;0.11
"vsrv16";"OPENVPN_L2";208;2;39.67;68.86;0;0;0;0;-Inf;Inf;NA;NA;0.1
"vsrv16";"OPENVPN_L3";3;3;3;NA;0;0;0;0;1819;1;209.82;534.58;0.92
"vsrv16";"PPTP";530;2;52.21;83.7;3;0;0.23;0.53;5556;1;1106.59;1260.11;0.2
"vsrv16";"SOFTETHER";251;2;66.25;123.19;1;0;0.09;0.29;22939;1;1773.59;5701.46;0.82
"vsrv16";"SSTP";1952;2;121.33;271.57;2;0;0.3;0.55;5505;1;1218.62;1481.02;0.29
"vsrv17";"OPENVPN_L2";190;3;29.25;65.03;0;0;0;0;177;121;149;39.6;0.27
"vsrv17";"OPENVPN_L3";72;72;72;NA;0;0;0;0;6481;1;408.94;1564.96;0.95
"vsrv17";"PPTP";565;2;77.53;125.7;5;0;0.39;0.74;6218;1;1644;1970.23;0.17
"vsrv17";"SOFTETHER";-Inf;Inf;NA;NA;0;0;0;NA;-Inf;Inf;NA;NA;1
"vsrv17";"SSTP";524;2;95.44;121.44;2;0;0.22;0.54;5593;1;1622.79;1808.51;0.28
"vsrv8";"OPENVPN_L2";167;5;46.9;60.61;0;0;0;0;-Inf;Inf;NA;NA;0
"vsrv8";"OPENVPN_L3";53;4;22.67;26.5;0;0;0;0;6470;1;1527.54;2818.14;0.82
"vsrv8";"PPTP";608;2;80.48;130.84;5;0;0.43;0.83;7068;1;1033.28;1429.22;0.24
"vsrv8";"SOFTETHER";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv8";"SSTP";503;2;78.2;97.26;1;0;0.17;0.37;8850;1;1640.35;2057.54;0.29
