"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";3330;2;75.78;150.76;325;0;11.78;15.5;1043;1;79.27;152.93;0.2
"vsrv11";"Todos";2775;2;103.45;235.81;18;0;1.49;2.22;5614;1;393.91;1018.42;0.28
"vsrv16";"Todos";3330;2;75.46;162.23;117;0;4.22;6.27;2152;1;255.1;362.71;0.19
"vsrv17";"Todos";1046;2;69.53;104.89;33;0;3.07;4;3200;1;297.38;470.57;0.21
"vsrv8";"Todos";874;2;67.49;109.06;38;0;3.9;5.21;3184;1;341.86;523.35;0.17
"Todos";"OPENVPN_L2";596;3;98.89;141.54;2;0;0.21;0.59;13885;2;2899.3;4566.69;0.23
"Todos";"OPENVPN_L3";125;2;9.97;22.01;2;0;0.13;0.38;10576;1;379.37;1666.39;0.75
"Todos";"PPTP";3330;2;87.09;189.83;147;0;5.66;7.44;2514;1;194.68;343.95;0.18
"Todos";"SOFTETHER";537;2;88.96;103.63;1;0;0.21;0.41;12368;1;1387;2362.72;0.31
"Todos";"SSTP";1046;2;65.05;105.14;59;0;6.44;7.83;2757;1;217.46;390.12;0.16
"vsrv11";"OPENVPN_L2";596;10;143.3;170.22;1;0;0.08;0.28;13885;3;7248.25;5747.57;0.2
"vsrv11";"OPENVPN_L3";125;2;10.23;22.33;2;0;0.13;0.39;10576;1;392.22;1693.38;0.75
"vsrv11";"PPTP";2775;2;124.58;277.47;14;0;1.32;1.83;18381;385;4848.88;6197.28;0.04
"vsrv11";"SOFTETHER";537;2;91.39;116.58;1;0;0.12;0.33;15662;1;4259.23;6742.57;0.28
"vsrv11";"SSTP";82;2;17.26;21.65;2;0;0.36;0.62;32720;254;10469.5;14976.67;0.18
"vsrv16";"OPENVPN_L2";139;4;33;44.39;0;0;0;0;6;6;6;NA;0.2
"vsrv16";"OPENVPN_L3";-Inf;Inf;NA;NA;0;0;0;NA;-Inf;Inf;NA;NA;1
"vsrv16";"PPTP";3330;2;90.42;216.78;52;0;2.09;3.55;3918;1;495.24;707.83;0.21
"vsrv16";"SOFTETHER";250;2;98.18;104.24;0;0;0;0;11229;1;2878.56;3363.54;0.48
"vsrv16";"SSTP";816;2;62.72;95.13;17;0;2.28;2.86;4973;1;634.4;857.5;0.15
"vsrv17";"OPENVPN_L2";69;3;20.25;32.51;0;0;0;0;18477;27;9252;13046.12;0.43
"vsrv17";"OPENVPN_L3";-Inf;Inf;NA;NA;0;0;0;NA;-Inf;Inf;NA;NA;1
"vsrv17";"PPTP";597;2;72.51;95.46;12;0;1.11;1.52;4381;1;728.28;880.16;0.21
"vsrv17";"SOFTETHER";357;2;91.67;94.81;1;0;0.17;0.39;8385;25;2611.29;3324.36;0.35
"vsrv17";"SSTP";1046;2;67.05;111.95;22;0;1.93;2.74;7813;1;528.25;1049.87;0.19
"vsrv8";"OPENVPN_L2";241;7;87.25;106.75;0;0;0;0;-Inf;Inf;NA;NA;0.2
"vsrv8";"OPENVPN_L3";2;2;2;NA;0;0;0;0;-Inf;Inf;NA;NA;0.5
"vsrv8";"PPTP";818;2;65.42;107.44;15;0;1.51;2.33;3184;1;604.14;801.61;0.22
"vsrv8";"SOFTETHER";241;3;68.09;75.44;1;0;0.33;0.49;-Inf;Inf;NA;NA;0.08
"vsrv8";"SSTP";874;2;69.06;111.74;23;0;2.28;2.98;10538;2;858.33;1670.76;0.13
