"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";1282;2;67.71;111.23;109;0;9.29;10.53;1399;1;79.51;159.38;0.2
"vsrv11";"Todos";810;2;70.12;108.11;24;0;1.95;2.57;10518;1;1215.27;2150.57;0.07
"vsrv16";"Todos";1282;2;72.64;126.18;34;0;2.96;3.45;2208;1;247.22;384.01;0.21
"vsrv17";"Todos";1254;2;61.98;106.43;29;0;2.07;2.83;1693;1;225.36;322.92;0.25
"vsrv8";"Todos";1070;2;66.19;99.7;23;0;2.52;3.12;3009;1;258.16;437.8;0.21
"Todos";"OPENVPN_L2";554;2;36.48;57.55;5;0;0.59;0.93;7173;1;954.63;1856.37;0.14
"Todos";"PPTP";1282;2;74.86;114.2;40;0;4.33;5.09;2801;1;120.43;258.02;0.25
"Todos";"SOFTETHER";436;2;55.49;74.38;4;0;0.36;0.83;10518;1;3134.07;3251.8;0.18
"Todos";"SSTP";1254;2;65.4;116.08;40;0;4.6;5.25;2849;1;285.67;446.4;0.15
"vsrv11";"OPENVPN_L2";253;2;38.16;48.68;2;0;0.2;0.43;4190;1;1037.29;1706.31;0.1
"vsrv11";"PPTP";810;2;90.66;130.35;7;0;1;1.4;4227;574;2582.33;1182.15;0.03
"vsrv11";"SOFTETHER";436;2;53.19;72.72;3;0;0.23;0.59;10518;3;4078.5;3419.06;0.16
"vsrv11";"SSTP";238;2;35.38;49.18;2;0;0.18;0.46;-Inf;Inf;NA;NA;0.03
"vsrv16";"OPENVPN_L2";99;2;24.66;25.36;1;0;0.11;0.32;10039;2582;7166.67;4012.58;0.11
"vsrv16";"PPTP";1282;2;86.93;140.26;10;0;1.49;1.86;2801;1;370.83;561.95;0.25
"vsrv16";"SOFTETHER";206;29;91.33;99.43;0;0;0;0;-Inf;Inf;NA;NA;0.25
"vsrv16";"SSTP";1131;2;60.48;112.14;9;0;1.36;1.69;5137;1;816.57;1002.76;0.16
"vsrv17";"OPENVPN_L2";167;2;35.83;44.64;2;0;0.17;0.45;21504;2;4130;8541.07;0.19
"vsrv17";"PPTP";624;2;56.6;77.1;9;0;0.76;1.13;3122;1;320.14;512.92;0.34
"vsrv17";"SOFTETHER";239;5;72.25;111.56;1;0;0.4;0.55;-Inf;Inf;NA;NA;0.2
"vsrv17";"SSTP";1254;2;69.54;131.25;14;0;1.47;2.05;5122;1;816.87;957.82;0.16
"vsrv8";"OPENVPN_L2";554;2;45;97.39;3;0;0.29;0.64;7175;1;3115.38;3179.55;0.22
"vsrv8";"PPTP";606;2;65.36;89.75;10;0;1.02;1.47;4086;1;394.52;609.26;0.27
"vsrv8";"SOFTETHER";56;16;36;28.28;0;0;0;0;1;1;1;NA;0.5
"vsrv8";"SSTP";1070;2;69.49;109.31;14;0;1.38;1.73;6836;1;879;1454.31;0.14
