"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";9087;2;76.82;143.36;1992;0;64.29;80.29;939;1;21.64;59.2;0.16
"vsrv11";"Todos";1246;2;58.87;90.81;37;0;2.28;3.16;3572;1;105.52;365.26;0.33
"vsrv16";"Todos";1045;2;75.29;96.8;255;0;21.06;25.79;1334;1;71.98;151.39;0.15
"vsrv17";"Todos";9087;2;81.43;212.83;595;0;21.23;27.64;1248;1;87.62;168.41;0.13
"vsrv8";"Todos";1269;2;78.28;103.66;243;0;21.68;27.33;1458;1;76.55;160.66;0.15
"Todos";"OPENVPN_L2";1246;2;52.88;77.64;21;0;2.16;2.73;2697;1;376.17;512.85;0.17
"Todos";"OPENVPN_L3";205;2;19.58;34.81;2;0;0.07;0.29;6355;1;104.14;616.84;0.85
"Todos";"PPTP";9087;2;82.79;186.47;968;0;28.01;30.04;1363;1;101.94;176.64;0.08
"Todos";"SOFTETHER";786;2;82.91;99.95;9;0;1.35;1.65;7414;1;980.26;1401.33;0.12
"Todos";"SSTP";1436;2;74.53;101.07;484;0;36.62;52;1505;1;40.14;114.98;0.17
"vsrv11";"OPENVPN_L2";1246;2;39.7;91.83;11;0;0.68;1.16;7492;2;1239.56;1820.69;0.14
"vsrv11";"OPENVPN_L3";42;2;7.53;9.55;2;0;0.06;0.29;7648;1;123.81;762.44;0.9
"vsrv11";"PPTP";737;2;82.02;99.74;5;0;1.01;1.23;16977;1;4678.62;5651.37;0.05
"vsrv11";"SOFTETHER";786;2;81.23;104.7;6;0;0.65;1.04;10997;140;2119.06;2667.62;0.08
"vsrv11";"SSTP";339;2;47.67;61.07;6;0;0.72;1.12;8041;125;3372.1;2570.82;0.05
"vsrv16";"OPENVPN_L2";450;2;53.03;62.51;5;0;0.6;1.07;5565;4;1304.28;1497.82;0.24
"vsrv16";"OPENVPN_L3";58;2;16.42;19.79;1;0;0.06;0.24;6322;1;515.68;1602.45;0.66
"vsrv16";"PPTP";892;2;78.86;98.05;71;0;9.33;9.11;2065;1;299.72;410.9;0.08
"vsrv16";"SOFTETHER";378;3;91.35;103.42;1;0;0.08;0.27;29210;6;6582.8;12692.57;0.23
"vsrv16";"SSTP";1045;2;73.64;97.34;156;0;11.7;17;2453;1;107.62;250.47;0.19
"vsrv17";"OPENVPN_L2";420;2;66.19;64.48;6;0;0.74;1.2;6243;4;1957.5;2048.92;0.14
"vsrv17";"OPENVPN_L3";115;2;35.22;36.97;1;0;0.09;0.29;6283;10;562;1802.6;0.59
"vsrv17";"PPTP";9087;2;85.92;295.15;311;0;8.58;11.75;1606;1;322.07;367.6;0.08
"vsrv17";"SOFTETHER";371;2;80;90.46;2;0;0.2;0.46;10196;20;2679.75;3541.01;0.22
"vsrv17";"SSTP";1436;2;78.84;110.65;158;0;12.24;17.22;5441;1;133.63;371.37;0.17
"vsrv8";"OPENVPN_L2";372;2;62.78;71.32;4;0;0.6;0.95;5637;3;1543.78;1596.45;0.19
"vsrv8";"OPENVPN_L3";205;2;46.92;64.45;0;0;0;0;6166;1;480.63;1638.8;0.68
"vsrv8";"PPTP";930;2;84;111.99;69;0;9.22;9.14;2918;1;310.46;455.12;0.09
"vsrv8";"SOFTETHER";263;2;91.57;75.53;1;0;0.32;0.47;14262;72;5754.67;5523.07;0.19
"vsrv8";"SSTP";1269;2;74.45;98.4;151;0;12.1;17.95;3125;1;119.82;272.3;0.18
