"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";3047;2;68.18;103.91;417;0;30.48;35.76;764;1;17.17;57.09;0.28
"vsrv11";"Todos";1518;2;54.35;90.5;22;0;2.19;3.03;4034;1;137.73;534.73;0.31
"vsrv16";"Todos";3047;2;72.52;121.71;116;0;10.32;12.17;1271;1;61.67;145.92;0.25
"vsrv17";"Todos";1440;2;69.48;93.7;135;0;9.68;11.59;1894;1;60.58;147.78;0.26
"vsrv8";"Todos";2103;2;67.28;97.36;103;0;8.63;10.55;1312;1;50.38;138.74;0.3
"Todos";"OPENVPN_L2";448;2;39.42;51.19;10;0;0.54;1.19;3594;1;91.92;372.42;0.58
"Todos";"OPENVPN_L3";251;2;16.45;38.07;2;0;0.05;0.23;11344;1;188.89;1231.82;0.8
"Todos";"PPTP";3047;2;83.27;129.95;181;0;17.21;16.44;1692;1;150.51;229.07;0.1
"Todos";"SOFTETHER";456;2;63.43;76.02;15;0;1.56;2.17;7329;1;825.54;1583.52;0.17
"Todos";"SSTP";1401;2;61.32;85.45;197;0;14.2;17.41;1191;1;29.23;95.05;0.3
"vsrv11";"OPENVPN_L2";209;2;26.35;33.28;10;0;0.61;1.21;8572;1;1989.04;2509.02;0.09
"vsrv11";"OPENVPN_L3";27;2;6.23;5.86;2;0;0.04;0.2;11344;1;185.74;1242.66;0.83
"vsrv11";"PPTP";1518;2;78.31;129.51;9;0;0.84;1.2;13354;5;2984.31;4207.9;0.06
"vsrv11";"SOFTETHER";456;2;78.97;82.25;8;0;0.63;1.19;8695;47;3602.36;3282.4;0.09
"vsrv11";"SSTP";334;2;60.86;78.1;4;0;0.51;0.8;11739;1;3034.4;4254.72;0.09
"vsrv16";"OPENVPN_L2";303;2;56.75;55.32;2;0;0.12;0.35;7913;1;684.18;1381.7;0.57
"vsrv16";"OPENVPN_L3";105;11;55.67;47.17;0;0;0;0;35026;1;11677.33;20220.54;0.57
"vsrv16";"PPTP";3047;2;86.24;150.47;47;0;5.69;5.81;2254;1;487.12;487.8;0.1
"vsrv16";"SOFTETHER";416;2;44.2;80.42;3;0;0.36;0.78;8726;20;2356.25;3651.13;0.2
"vsrv16";"SSTP";1401;2;64.28;99.03;63;0;4.8;6.45;1773;1;79.14;212.83;0.31
"vsrv17";"OPENVPN_L2";350;3;59.07;60.58;1;0;0.08;0.26;8261;1;467.16;1463.75;0.66
"vsrv17";"OPENVPN_L3";251;4;78.25;116.25;0;0;0;0;-Inf;Inf;NA;NA;0
"vsrv17";"PPTP";1440;2;84.15;116.33;63;0;5.34;6.01;3524;1;394.64;576.11;0.12
"vsrv17";"SOFTETHER";324;2;53.8;64.99;3;0;0.71;0.9;6160;60;1960.89;2445.38;0.2
"vsrv17";"SSTP";612;2;60.27;75.04;61;0;4.52;5.68;1894;1;85.49;224.81;0.31
"vsrv8";"OPENVPN_L2";448;2;59.09;76.8;2;0;0.06;0.27;4834;1;142.34;602.22;0.86
"vsrv8";"OPENVPN_L3";156;2;60;63.85;0;0;0;0;-Inf;Inf;NA;NA;0
"vsrv8";"PPTP";2103;2;80.61;119.06;35;0;5.34;5.04;3090;1;524.95;662.87;0.09
"vsrv8";"SOFTETHER";201;2;43.24;51.23;4;0;0.41;0.79;6645;1;1158.53;2079.15;0.31
"vsrv8";"SSTP";772;2;59.32;80.47;46;0;4.38;5.51;2426;1;93.23;236;0.28
