"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";11991;2;69.89;257.08;1593;0;28.07;41.9;1291;1;67.21;173.83;0.19
"vsrv11";"Todos";850;2;60.02;83.13;17;0;2.3;2.59;8019;1;677.95;1312.06;0.1
"vsrv16";"Todos";11991;2;87.79;456.91;466;0;9.64;17.96;4261;1;181.24;488.95;0.24
"vsrv17";"Todos";2401;2;70.78;142.14;59;0;8.16;9.23;4325;1;235.66;583.19;0.22
"vsrv8";"Todos";878;2;57.66;75.13;70;0;9.96;11.73;3608;1;277.72;518.83;0.18
"Todos";"OPENVPN_L2";239;2;34.59;36.69;8;0;0.51;1.08;11402;1;136.53;862.1;0.5
"Todos";"OPENVPN_L3";12;2;6.67;5.03;0;0;0;0;5602;1;338.24;1159.49;0.9
"Todos";"PPTP";11991;2;80.46;387.18;521;0;8.34;17.52;2138;1;239.49;402.64;0.15
"Todos";"SOFTETHER";543;2;93.38;118.02;3;0;0.53;0.7;10550;318;2947.14;3635.43;0.11
"Todos";"SSTP";2731;2;66.53;124.45;150;0;21.69;21.63;3414;1;198.11;467.53;0.13
"vsrv11";"OPENVPN_L2";239;2;34.05;38.83;5;0;0.41;0.85;11402;72;2018.92;3201.18;0.08
"vsrv11";"OPENVPN_L3";12;2;6.67;5.03;0;0;0;0;7229;1;403.32;1471.05;0.9
"vsrv11";"PPTP";850;2;70;91.87;6;0;0.75;1.05;8544;40;4533.75;3173.9;0.04
"vsrv11";"SOFTETHER";543;2;96.62;120.75;3;0;0.56;0.71;10550;318;3438.33;3897.22;0.1
"vsrv11";"SSTP";349;2;52.32;66.13;3;0;0.2;0.49;13692;6;4986.5;5592.93;0.09
"vsrv16";"OPENVPN_L2";139;2;33.45;37.29;1;0;0.04;0.2;1410;1;61.86;230.17;0.8
"vsrv16";"OPENVPN_L3";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv16";"PPTP";11991;2;108.19;725.62;140;0;3.38;8.43;9008;1;939.5;1479.2;0.15
"vsrv16";"SOFTETHER";20;17;18.5;2.12;0;0;0;0;-Inf;Inf;NA;NA;0
"vsrv16";"SSTP";2731;2;79.09;169.96;51;0;7.64;7.55;5550;1;554.46;1150.72;0.15
"vsrv17";"OPENVPN_L2";88;2;37.14;28.12;2;0;0.09;0.39;15850;1;487.19;2151.96;0.76
"vsrv17";"OPENVPN_L3";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv17";"PPTP";2401;2;78.26;175.92;20;0;2.01;2.78;4325;1;683.63;964.31;0.2
"vsrv17";"SOFTETHER";88;88;88;NA;0;0;0;0;-Inf;Inf;NA;NA;0.5
"vsrv17";"SSTP";1984;2;67.53;118.97;36;0;6.68;6.38;7252;1;601.03;1430.14;0.13
"vsrv8";"OPENVPN_L2";106;2;37;30.35;1;0;0.16;0.37;8598;1;612.38;1758;0.5
"vsrv8";"OPENVPN_L3";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv8";"PPTP";529;2;63.24;85.43;25;0;2.66;3.65;3608;1;728.2;853.19;0.19
"vsrv8";"SOFTETHER";41;41;41;NA;0;0;0;NA;-Inf;Inf;NA;NA;0
"vsrv8";"SSTP";878;2;55.45;69.82;35;0;7.64;8.9;7031;1;574.81;1242.31;0.14
