"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";2129;2;77.17;139.03;72;0;5.42;6.33;1257;1;162.69;252.23;0.19
"vsrv11";"Todos";772;2;72.33;113.76;16;0;1.62;1.9;6161;4;2137.94;2101.7;0.05
"vsrv16";"Todos";747;2;77.33;118;13;0;1.26;2.14;2263;1;469.47;557.09;0.25
"vsrv17";"Todos";900;2;67.4;114.3;17;0;1.13;1.66;2593;1;515.32;630.45;0.22
"vsrv8";"Todos";2129;2;92.25;194;13;0;1.25;1.64;2785;1;490.36;558.42;0.23
"Todos";"OPENVPN_L2";195;2;37.06;37.93;1;0;0.13;0.34;12842;2;3488.3;4813;0.12
"Todos";"PPTP";2129;2;93.69;167.21;38;0;3.69;4.21;1457;1;243.14;361.67;0.2
"Todos";"SOFTETHER";386;2;129.41;119.2;0;0;0;0;-Inf;Inf;NA;NA;0.04
"Todos";"SSTP";540;2;50.76;72.38;14;0;1.46;2.48;2993;1;468.64;639.03;0.21
"vsrv11";"OPENVPN_L2";195;2;43.06;42.74;1;0;0.11;0.31;34207;34207;34207;NA;0.04
"vsrv11";"PPTP";772;2;87.51;135.52;10;0;0.96;1.29;5727;266;2663;1977.04;0.04
"vsrv11";"SOFTETHER";386;2;134.86;119.3;0;0;0;0;-Inf;Inf;NA;NA;0.05
"vsrv11";"SSTP";152;2;27.26;32.82;2;0;0.17;0.42;11413;4;2829.6;4928.66;0.1
"vsrv16";"OPENVPN_L2";64;3;17.86;23.66;0;0;0;0;20;2;8;10.39;0.36
"vsrv16";"PPTP";747;2;94.23;134.18;6;0;0.71;1.06;2840;1;734.17;709.19;0.26
"vsrv16";"SOFTETHER";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv16";"SSTP";540;2;52.4;80.91;8;0;0.71;1.67;6089;4;1442.6;1426.5;0.23
"vsrv17";"OPENVPN_L2";56;3;21.09;17.91;0;0;0;0;23283;674;11978.5;15986.98;0.21
"vsrv17";"PPTP";900;2;81.54;137.68;6;0;0.67;1.07;7120;1;870.31;1232.41;0.23
"vsrv17";"SOFTETHER";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv17";"SSTP";381;2;50.13;66.24;2;0;0.43;0.66;5765;2;1365.41;1425.35;0.22
"vsrv8";"OPENVPN_L2";58;4;36.12;21.94;0;0;0;0;11132;11132;11132;NA;0.2
"vsrv8";"PPTP";2129;2;111.02;235.58;5;0;0.83;1.1;2911;2;729.43;724.29;0.24
"vsrv8";"SOFTETHER";15;15;15;NA;0;0;0;NA;-Inf;Inf;NA;NA;0
"vsrv8";"SSTP";512;2;63.57;83.67;4;0;0.38;0.69;5889;1;1523.36;1764.95;0.22
