"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";5423;2;80.17;134.29;1775;0;94.17;101.96;1098;1;29.07;92.52;0.14
"vsrv11";"Todos";2340;2;74.98;185.52;21;0;1.59;2.08;6093;2;1332.68;1606.29;0.08
"vsrv16";"Todos";1699;2;82.12;120.94;519;0;38.24;41.73;2428;1;105.14;251.27;0.11
"vsrv17";"Todos";5423;2;81.71;154.61;561;0;28.27;30.81;5258;1;88.08;305.27;0.14
"vsrv8";"Todos";3061;2;77.14;118.85;273;0;28.2;30.36;2637;1;73.32;223.17;0.16
"Todos";"OPENVPN_L2";289;2;41.23;48.12;20;0;1.35;2.3;7441;1;539.81;1112.28;0.15
"Todos";"PPTP";5423;2;89.61;149.67;885;0;54.71;55.31;1098;1;79.41;162.81;0.1
"Todos";"SOFTETHER";445;2;82.88;107.21;4;0;0.52;0.9;13546;172;4312.88;5504.46;0.11
"Todos";"SSTP";1959;2;72.66;119.16;530;0;37.93;43.99;5716;1;48.83;253.02;0.18
"vsrv11";"OPENVPN_L2";289;2;37.55;46.59;3;0;0.28;0.64;7553;2;1415.09;2145.26;0.15
"vsrv11";"PPTP";2340;2;94.65;254.49;7;0;0.75;1.1;7017;57;2861.25;2226.43;0.07
"vsrv11";"SOFTETHER";445;2;98.82;117.41;4;0;0.45;0.9;11572;885;5196.25;5233.53;0.08
"vsrv11";"SSTP";296;2;41.29;50.63;3;0;0.57;0.79;7881;7881;7881;NA;0.03
"vsrv16";"OPENVPN_L2";278;2;40.94;46.55;3;0;0.53;0.84;7546;16;2449.8;2589.98;0.08
"vsrv16";"PPTP";1627;2;88.13;119.69;257;0;20.5;21.34;2787;1;253.34;430.98;0.09
"vsrv16";"SOFTETHER";133;2;41;53.33;3;0;1.14;1.21;-Inf;Inf;NA;NA;0.14
"vsrv16";"SSTP";1699;2;78.92;125.76;185;0;16.98;19.76;7192;1;177.49;614.16;0.14
"vsrv17";"OPENVPN_L2";212;2;44.19;50.83;5;0;0.47;1.02;6865;1;821.29;1498.21;0.18
"vsrv17";"PPTP";5423;2;92.48;178.89;299;0;17.39;17.55;5258;1;250.9;518.17;0.1
"vsrv17";"SOFTETHER";41;4;23.86;14.47;1;0;0.5;0.53;-Inf;Inf;NA;NA;0.12
"vsrv17";"SSTP";1959;2;71.89;124.78;155;0;10.32;12.5;7396;1;149.18;600.01;0.18
"vsrv8";"OPENVPN_L2";256;2;41.02;48.74;7;0;0.38;0.91;9818;5;963.32;2115.14;0.18
"vsrv8";"PPTP";3061;2;87.77;130.08;146;0;17.1;17.49;3596;1;232.76;433.33;0.1
"vsrv8";"SOFTETHER";68;15;34;21.27;0;0;0;0;14270;14270;14270;NA;0.29
"vsrv8";"SSTP";1519;2;68.05;107.75;109;0;10.98;12.69;11344;1;112.51;663.79;0.21
