"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";10197;2;79.74;299.03;404;0;7.81;11.85;1314;1;114.21;193.82;0.18
"vsrv11";"Todos";1333;2;74.66;126.47;19;0;2.25;2.52;7993;1;922.02;1528.75;0.08
"vsrv16";"Todos";2210;2;82.87;170.93;22;0;2.1;2.59;3318;1;369.39;564.73;0.2
"vsrv17";"Todos";1759;2;74.46;151.76;18;0;1.93;2.54;2578;1;408.63;512.29;0.2
"vsrv8";"Todos";10197;2;87.98;555.86;98;0;1.99;4.9;2954;1;370.38;522.46;0.22
"Todos";"OPENVPN_L2";392;2;47.74;70.75;4;0;0.29;0.65;5845;1;481.59;1037.35;0.37
"Todos";"PPTP";2210;2;79.15;147.35;56;0;4.38;4.68;1655;1;240.54;370.98;0.15
"Todos";"SOFTETHER";1285;2;72.98;162.54;4;0;0.3;0.72;12735;11;1926.36;3485.67;0.15
"Todos";"SSTP";10197;2;88.37;492.48;108;0;3.15;5.51;4365;1;369.86;618.31;0.18
"vsrv11";"OPENVPN_L2";392;2;45.48;69.05;2;0;0.1;0.35;8024;1;2000.31;2746.79;0.22
"vsrv11";"PPTP";1333;2;84.73;130.74;12;0;1.4;1.56;31147;1;5750.83;12488.77;0.02
"vsrv11";"SOFTETHER";1285;2;95.96;193.6;4;0;0.24;0.63;18126;11;3371.12;6180.57;0.14
"vsrv11";"SSTP";261;2;39.77;47.24;1;0;0.13;0.34;10230;1;3262.54;3914.06;0.15
"vsrv16";"OPENVPN_L2";371;2;68.63;93.63;2;0;0.06;0.3;8562;1;632.48;1688.57;0.53
"vsrv16";"PPTP";2210;2;96.35;205.35;13;0;1.22;1.77;3318;1;776.9;868.23;0.17
"vsrv16";"SOFTETHER";60;3;22.6;25.07;0;0;0;0;-Inf;Inf;NA;NA;0
"vsrv16";"SSTP";802;2;65.6;111.6;5;0;0.79;1.1;8539;1;1563.18;2146.23;0.15
"vsrv17";"OPENVPN_L2";88;2;33.1;35.13;1;0;0.11;0.32;24856;8;6627.25;9683.42;0.47
"vsrv17";"PPTP";891;2;77.92;144.74;12;0;0.98;1.54;2953;4;837.62;862.9;0.18
"vsrv17";"SOFTETHER";112;2;34.43;40.76;1;0;0.21;0.42;4148;30;1116.75;2022.08;0.26
"vsrv17";"SSTP";1759;2;75.06;169.5;7;0;1.01;1.38;5038;1;1026.84;1120.68;0.2
"vsrv8";"OPENVPN_L2";109;2;28.56;31.43;1;0;0.07;0.27;8543;2;3356.12;3619.57;0.33
"vsrv8";"PPTP";615;2;55.23;80.09;6;0;0.79;1.16;3399;2;616.13;741.23;0.22
"vsrv8";"SOFTETHER";55;2;15.33;18.35;1;0;0.2;0.42;-Inf;Inf;NA;NA;0.1
"vsrv8";"SSTP";10197;2;149.52;909.46;33;0;1.06;2.71;7741;1;1107.92;1862.95;0.2
