"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";11991;2;77.03;155.96;1992;0;48.19;72.66;3987;1;51.84;149.43;0.18
"vsrv10";"Todos";1375;2;77.93;113.04;53;0;4.87;5.48;3535;1;332.8;518.19;0.13
"vsrv11";"Todos";2775;2;68.87;121.61;37;0;1.96;2.68;15869;1;400.39;1125.31;0.2
"vsrv16";"Todos";11991;2;78.68;157.62;519;0;18.17;28.24;5722;1;176.13;409.47;0.17
"vsrv17";"Todos";9087;2;79.38;160.43;595;0;15.66;23.81;6228;1;184.16;440.02;0.18
"vsrv8";"Todos";10197;2;76.05;162.84;273;0;15.94;23.45;5897;1;171.48;445.11;0.18
"Todos";"OPENVPN_L2";1246;2;43.79;61.44;22;0;0.99;1.98;25699;1;449;1724.44;0.33
"Todos";"OPENVPN_L3";251;2;15.39;31.81;2;0;0.06;0.26;48543;1;304.31;2361.15;0.83
"Todos";"PPTP";11991;2;85.87;182.95;968;0;24.54;36.89;3987;1;177.36;330.35;0.12
"Todos";"SOFTETHER";1285;2;81.06;104.43;15;0;0.91;1.51;68127;1;2087.15;5823.71;0.17
"Todos";"SSTP";10197;2;72.18;134.56;530;0;24.77;38.17;7688;1;107.32;358.16;0.19
"vsrv10";"OPENVPN_L2";150;2;35.73;39.45;3;0;0.26;0.69;13104;2;2659.73;3743.96;0.32
"vsrv10";"OPENVPN_L3";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv10";"PPTP";671;2;88.23;118.68;19;0;2.33;2.63;3850;1;730.65;882.02;0.11
"vsrv10";"SOFTETHER";252;2;87.88;87.59;0;0;0;0;6660;6;2787.83;3089.36;0.47
"vsrv10";"SSTP";1375;2;71.53;111.38;26;0;2.21;2.93;6344;1;734.22;1066.57;0.12
"vsrv11";"OPENVPN_L2";1246;2;38.42;65.18;11;0;0.41;0.92;43303;1;3488.62;6389.95;0.12
"vsrv11";"OPENVPN_L3";125;2;7.43;11.64;2;0;0.05;0.26;48543;1;341.03;2611.18;0.85
"vsrv11";"PPTP";2775;2;86.71;153.68;15;0;0.99;1.41;31443;1;4340.67;5872.64;0.05
"vsrv11";"SOFTETHER";1285;2;87.9;113.09;8;0;0.48;0.9;68578;1;4694.85;9143.79;0.12
"vsrv11";"SSTP";739;2;46.91;66.41;6;0;0.44;0.81;50315;1;6758.24;10633.81;0.09
"vsrv16";"OPENVPN_L2";450;2;44.17;54.46;6;0;0.32;0.79;62209;1;1687.15;6356.7;0.38
"vsrv16";"OPENVPN_L3";105;2;22.94;29.3;1;0;0.03;0.18;108219;1;5972.64;19130.71;0.73
"vsrv16";"PPTP";11991;2;86.85;195.49;257;0;9.12;14.07;9008;1;556.25;847.42;0.12
"vsrv16";"SOFTETHER";416;2;66.95;87.56;3;0;0.18;0.57;135621;1;9901.61;25153.39;0.33
"vsrv16";"SSTP";2731;2;73.64;117.19;185;0;9.17;14.54;13428;1;322.56;927.29;0.19
"vsrv17";"OPENVPN_L2";420;2;50.41;57.01;6;0;0.34;0.83;47571;1;2071;6152.16;0.37
"vsrv17";"OPENVPN_L3";251;2;50.14;66.29;1;0;0.04;0.2;160748;1;7311.56;28599.73;0.71
"vsrv17";"PPTP";9087;2;87.71;201.47;311;0;8.08;12.66;8895;1;556.6;926.52;0.13
"vsrv17";"SOFTETHER";371;2;61.73;74.47;3;0;0.36;0.65;109607;1;11831.55;24010.49;0.25
"vsrv17";"SSTP";1984;2;73.88;116.4;158;0;7.67;12.21;11722;1;327.9;892.48;0.2
"vsrv8";"OPENVPN_L2";554;2;49.31;64.62;7;0;0.23;0.68;122197;1;1140.33;7208.63;0.51
"vsrv8";"OPENVPN_L3";205;2;42.7;57.92;0;0;0;0;160793;1;6084.18;25202.25;0.66
"vsrv8";"PPTP";8447;2;82.58;160.67;146;0;8.22;11.95;8942;1;554.77;900.98;0.13
"vsrv8";"SOFTETHER";263;2;60.19;62.09;4;0;0.27;0.58;171869;1;13256.54;33607.73;0.24
"vsrv8";"SSTP";10197;2;72.14;170.3;151;0;8.05;12.55;19022;1;330.89;1099.03;0.19
