"v.server";"v.protocolo";"v.dur.max";"v.dur.min";"v.dur.mean";"v.dur.sd";"v.ns.max";"v.ns.min";"v.ns.mean";"v.ns.sd";"v.mtbf.max";"v.mtbf.min";"v.mtbf.mean";"v.mtbf.sd";"v.tf"
"Todos";"Todos";11991;2;78.73;154.99;1992;0;46.3;69.95;3987;1;54.71;151.51;0.18
"vsrv10";"Todos";2113;2;88;134.94;113;0;7.49;10.54;5806;1;401.44;693.09;0.12
"vsrv11";"Todos";2775;2;70.25;121.76;37;0;1.99;2.71;15869;1;423.2;1118.61;0.2
"vsrv16";"Todos";11991;2;79.83;156.36;519;0;17.24;27.23;5722;1;187.28;422.54;0.17
"vsrv17";"Todos";9087;2;81.33;163.33;595;0;15.02;23.05;6796;1;198.5;484;0.17
"vsrv8";"Todos";10197;2;77.2;159.05;273;0;15.11;22.61;5897;1;184.62;456.44;0.18
"Todos";"OPENVPN_L2";1246;2;45.74;66.82;22;0;0.96;1.9;25699;1;477.41;1775.54;0.32
"Todos";"OPENVPN_L3";251;2;14.93;31.15;2;0;0.06;0.26;48543;1;392.94;2892.53;0.82
"Todos";"PPTP";11991;2;86.67;179.06;968;0;23.18;35.27;3987;1;183.69;338.39;0.12
"Todos";"SOFTETHER";1285;2;84.41;110.6;15;0;0.83;1.43;68127;1;2154.2;5560.78;0.16
"Todos";"SSTP";10197;2;74.76;137.34;530;0;24.09;36.99;7688;1;113.78;361.05;0.18
"vsrv10";"OPENVPN_L2";150;2;48.96;45.97;3;0;0.21;0.55;35363;1;4339.62;8029.22;0.33
"vsrv10";"OPENVPN_L3";-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;-Inf;Inf;NA;NA;NA
"vsrv10";"PPTP";2113;2;91.89;143.45;30;0;2.97;3.95;7129;1;944.5;1306.41;0.12
"vsrv10";"SOFTETHER";252;2;78.44;86.68;0;0;0;0;6660;6;2787.83;3089.36;0.44
"vsrv10";"SSTP";1461;2;86.7;130.42;67;0;4.36;6.73;15781;1;831.44;1785.59;0.11
"vsrv11";"OPENVPN_L2";1246;2;40.77;69.14;11;0;0.43;0.94;43303;1;3507.52;6250.85;0.12
"vsrv11";"OPENVPN_L3";125;2;7.69;13.23;2;0;0.06;0.26;48543;1;439.7;3148.74;0.84
"vsrv11";"PPTP";2775;2;86.79;152.45;15;0;0.96;1.39;31443;1;4162.75;5533.96;0.05
"vsrv11";"SOFTETHER";1285;2;91.34;118.93;8;0;0.46;0.87;68578;1;4301.21;8266.88;0.12
"vsrv11";"SSTP";739;2;50.62;74.62;6;0;0.42;0.77;50315;1;6815.85;10444.06;0.09
"vsrv16";"OPENVPN_L2";785;2;47.08;65.4;6;0;0.29;0.75;62209;1;1677.82;6058.64;0.38
"vsrv16";"OPENVPN_L3";105;2;22.94;29.3;1;0;0.03;0.18;108219;1;5972.64;19130.71;0.73
"vsrv16";"PPTP";11991;2;87.56;193.71;257;0;8.57;13.55;9008;1;589.13;885.61;0.12
"vsrv16";"SOFTETHER";416;2;65.53;86.71;3;0;0.18;0.56;135621;1;9901.61;25153.39;0.32
"vsrv16";"SSTP";2731;2;75.25;116.8;185;0;8.78;14.07;13428;1;347.15;940.04;0.19
"vsrv17";"OPENVPN_L2";420;2;50.16;56.82;6;0;0.32;0.81;47571;1;2295.32;6368.46;0.37
"vsrv17";"OPENVPN_L3";251;2;50.14;66.29;1;0;0.04;0.2;160748;1;7311.56;28599.73;0.71
"vsrv17";"PPTP";9087;2;88.18;195.42;311;0;7.66;12.21;13730;1;593.23;1087.17;0.13
"vsrv17";"SOFTETHER";371;2;61.36;74.29;3;0;0.36;0.65;109607;1;12035.22;23744.3;0.25
"vsrv17";"SSTP";4333;2;77.35;133.07;158;0;7.4;11.81;12432;1;355.68;963.7;0.19
"vsrv8";"OPENVPN_L2";772;2;51.82;72.8;7;0;0.22;0.66;122197;0;1225.69;7393.44;0.5
"vsrv8";"OPENVPN_L3";205;2;42.7;57.92;0;0;0;0;160793;1;6084.18;25202.25;0.66
"vsrv8";"PPTP";8447;2;83.56;157.36;146;0;7.72;11.49;8942;1;588.4;935.99;0.13
"vsrv8";"SOFTETHER";263;2;59.56;61.82;4;0;0.27;0.58;171869;1;13256.54;33607.73;0.24
"vsrv8";"SSTP";10197;2;73.27;165.48;151;0;7.69;12.12;19022;1;356.54;1098.19;0.19
