c,performance
0.05,0.89591494
0.1,0.90710688
0.15,0.91326245
0.2,0.91382205
0.25,0.91494124
0.3,0.91717963
0.35,0.91997762
0.4,0.9227756
0.45,0.9238948
0.5,0.9227756
0.55,0.9238948
0.6,0.9238948
0.65,0.9227756
0.7,0.9227756
0.75,0.92109681
0.8,0.92165641
0.85,0.92109681
0.9,0.92165641
0.95,0.922216
1,0.9227756
1.05,0.9227756
1.1,0.9233352
1.15,0.9233352
1.2,0.9227756
1.25,0.922216
1.3,0.9227756
1.35,0.922216
1.4,0.9227756
1.45,0.9227756
1.5,0.922216
1.55,0.922216
1.6,0.9227756
1.65,0.9233352
1.7,0.9227756
1.75,0.9233352
1.8,0.9233352
1.85,0.9238948
1.9,0.9238948
1.95,0.9238948
2,0.9233352
2.05,0.9233352
2.1,0.9233352
2.15,0.9227756
2.2,0.9227756
2.25,0.9227756
2.3,0.922216
2.35,0.922216
2.4,0.9227756
2.45,0.9227756
2.5,0.9227756
2.55,0.9227756
2.6,0.922216
2.65,0.922216
2.7,0.922216
2.75,0.922216
2.8,0.922216
2.85,0.922216
2.9,0.922216
2.95,0.922216
3,0.922216
3.05,0.922216
3.1,0.922216
3.15,0.922216
3.2,0.9227756
3.25,0.9227756
3.3,0.9227756
3.35,0.9227756
3.4,0.9227756
3.45,0.922216
3.5,0.9227756
3.55,0.9233352
3.6,0.9233352
3.65,0.9233352
3.7,0.9227756
3.75,0.9227756
3.8,0.9227756
3.85,0.9227756
3.9,0.9227756
3.95,0.9227756
4,0.9227756
4.05,0.922216
4.1,0.9227756
4.15,0.9227756
4.2,0.922216
4.25,0.922216
4.3,0.922216
4.35,0.922216
4.4,0.922216
4.45,0.922216
4.5,0.9227756
4.55,0.9227756
4.6,0.9227756
4.65,0.9227756
4.7,0.9227756
4.75,0.9227756
4.8,0.9227756
4.85,0.9227756
4.9,0.9227756
4.95,0.9233352
5,0.9233352
5.05,0.9233352
5.1,0.9233352
5.15,0.9233352
5.2,0.9233352
5.25,0.9233352
5.3,0.9227756
5.35,0.9233352
5.4,0.9233352
5.45,0.9238948
5.5,0.9238948
5.55,0.9238948
5.6,0.9233352
5.65,0.9233352
5.7,0.9233352
5.75,0.9233352
5.8,0.9233352
5.85,0.9233352
5.9,0.9233352
5.95,0.9233352
6,0.9233352
6.05,0.9233352
6.1,0.9233352
6.15,0.9233352
6.2,0.9233352
6.25,0.9233352
6.3,0.9233352
6.35,0.9233352
6.4,0.9233352
6.45,0.9233352
6.5,0.9233352
6.55,0.9233352
6.6,0.922216
6.65,0.922216
6.7,0.922216
6.75,0.922216
6.8,0.922216
6.85,0.922216
6.9,0.922216
6.95,0.922216
7,0.922216
7.05,0.922216
7.1,0.922216
7.15,0.922216
7.2,0.922216
7.25,0.922216
7.3,0.922216
7.35,0.922216
7.4,0.922216
7.45,0.9227756
7.5,0.9227756
7.55,0.9227756
7.6,0.9227756
7.65,0.9227756
7.7,0.9227756
7.75,0.9227756
7.8,0.9227756
7.85,0.922216
7.9,0.922216
7.95,0.922216
8,0.922216
8.05,0.922216
8.1,0.922216
8.15,0.922216
8.2,0.922216
8.25,0.922216
8.3,0.922216
8.35,0.92165641
8.4,0.92165641
8.45,0.92165641
8.5,0.92165641
8.55,0.92165641
8.6,0.92165641
8.65,0.92165641
8.7,0.92165641
8.75,0.92165641
8.8,0.92165641
8.85,0.92165641
8.9,0.92165641
8.95,0.92165641
